Code,Name,Stock,Origin,Gender,Type,Size,Pairs per Bag,Price,Original Price,Total Discount,Color,Gender,Pairs per Bag,Pairs per Box,Supplier
999,Orchid Daut Kwar Par 3line,3,,F,,"36-40(36,38,39)",,14000,,,,,,,
Gold Fish  Kwar Par Ckwin Sankyit,Gold Fish Kwar Par Ckwin Sankyit,1,,F,,44,,14000,,,,,,,
Gold Fish Late Pyat Ckwin,Gold Fish Late Pyat Ckwin,4,,F,,36-40,,14000,,,,,,,
Gold Fish Tharafu Ckwin,Gold Fish Tharafu Ckwin,2,,F,,36-40,,14000,,,,,,,
Gold Fish Kyohtone Kwin,Gold Fish Kyohtone  Kwin,1,,F,,36-40,,14000,,,,,,,
762,AR Soft Kyar Nyat,3,,M,,10-May,,23000,,,,,,,
S13,Aerostar Kyar Ckwin,3,,M,,10-May,,23000,,,,,,,
S07,Aerostar Kyar Ckwin,3,,M,,10-May,,23000,,,,,,,
S06,Aerostar Kyar Ckwin,1,,M,,10-May,,23000,,,,,,,
S61,Aerostar Kyar Ckwin,1,,M,,10-May,,23000,,,,,,,
S59,Aerostar Kyar Ckwin,2,,M,,10-May,,23000,,,,,,,
S101,Aerostar Kyar Ckwin,6,,M,,10-May,,23000,,,,,,,
V83,AerostarKyar Nyat,1,,M,,10-May,,23000,,,,,,,
729,AR Soft Kyar Nyat,1,,M,,10-May,,23000,,,,,,,
797,AR Soft Kyar Nyat,3,,M,,10-May,,23000,,,,,,,
S01,Aerostar Kyar Kwin,5,,M,,10-May,,23000,,,,,,,
S22,Aerostar Kyar Kwin,1,,M,,10-May,,23000,,,,,,,
S02,Aerostar Kyar Kwin,2,,M,,10-May,,23000,,,,,,,
Aero21,Unisoft Kyar Kwin,0,,M,,40-44(40),,23000,,,,,,,
723,AR Soft Kyar Nyat,0,,M,,10-May,,23000,,,,,,,
792,AR Soft Kyar Nyat,0,,M,,10-May,,23000,,,,,,,
